source_part,dataset_part,archive_path,archive_tail,archive_tail_key,size_bytes,crc
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_08_patient_142.npy,THANG 10/PET/day_08_patient_142.npy,thang 10/pet/day_08_patient_142.npy,39190656,9129E468
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_08_patient_143.npy,THANG 10/PET/day_08_patient_143.npy,thang 10/pet/day_08_patient_143.npy,39190656,C9DDF280
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_08_patient_144.npy,THANG 10/PET/day_08_patient_144.npy,thang 10/pet/day_08_patient_144.npy,39190656,080480D9
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_08_patient_145.npy,THANG 10/PET/day_08_patient_145.npy,thang 10/pet/day_08_patient_145.npy,34472064,09D81FC8
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_08_patient_146.npy,THANG 10/PET/day_08_patient_146.npy,thang 10/pet/day_08_patient_146.npy,41025664,11C3DF9B
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_08_patient_147.npy,THANG 10/PET/day_08_patient_147.npy,thang 10/pet/day_08_patient_147.npy,41025664,A50626D3
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_08_patient_148.npy,THANG 10/PET/day_08_patient_148.npy,thang 10/pet/day_08_patient_148.npy,36044928,83D1B73A
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_08_patient_52.npy,THANG 10/PET/day_08_patient_52.npy,thang 10/pet/day_08_patient_52.npy,39190656,62694410
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_10_patient_149.npy,THANG 10/PET/day_10_patient_149.npy,thang 10/pet/day_10_patient_149.npy,36044928,BD1F467B
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_10_patient_150.npy,THANG 10/PET/day_10_patient_150.npy,thang 10/pet/day_10_patient_150.npy,36044928,D65FF265
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_10_patient_151.npy,THANG 10/PET/day_10_patient_151.npy,thang 10/pet/day_10_patient_151.npy,39190656,BA60EA6A
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_10_patient_152.npy,THANG 10/PET/day_10_patient_152.npy,thang 10/pet/day_10_patient_152.npy,41025664,A09ED416
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_10_patient_153.npy,THANG 10/PET/day_10_patient_153.npy,thang 10/pet/day_10_patient_153.npy,39190656,47523021
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_10_patient_154.npy,THANG 10/PET/day_10_patient_154.npy,thang 10/pet/day_10_patient_154.npy,36044928,47CFB35B
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_10_patient_155.npy,THANG 10/PET/day_10_patient_155.npy,thang 10/pet/day_10_patient_155.npy,39190656,5B766208
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_10_patient_156.npy,THANG 10/PET/day_10_patient_156.npy,thang 10/pet/day_10_patient_156.npy,39190656,7AB8FB15
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_10_patient_158.npy,THANG 10/PET/day_10_patient_158.npy,thang 10/pet/day_10_patient_158.npy,36044928,3AFDE419
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_10_patient_159.npy,THANG 10/PET/day_10_patient_159.npy,thang 10/pet/day_10_patient_159.npy,41025664,5565D641
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_10_patient_160.npy,THANG 10/PET/day_10_patient_160.npy,thang 10/pet/day_10_patient_160.npy,36044928,1D7092E8
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_11_patient_161.npy,THANG 10/PET/day_11_patient_161.npy,thang 10/pet/day_11_patient_161.npy,36044928,C8309C5A
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_11_patient_162.npy,THANG 10/PET/day_11_patient_162.npy,thang 10/pet/day_11_patient_162.npy,41025664,D3C27BFE
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_15_patient_163.npy,THANG 10/PET/day_15_patient_163.npy,thang 10/pet/day_15_patient_163.npy,39190656,777DE326
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_15_patient_164.npy,THANG 10/PET/day_15_patient_164.npy,thang 10/pet/day_15_patient_164.npy,39190656,51002EF8
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_15_patient_165.npy,THANG 10/PET/day_15_patient_165.npy,thang 10/pet/day_15_patient_165.npy,41025664,40B66510
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_16_patient_166.npy,THANG 10/PET/day_16_patient_166.npy,thang 10/pet/day_16_patient_166.npy,34472064,0BA0C287
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_16_patient_167.npy,THANG 10/PET/day_16_patient_167.npy,thang 10/pet/day_16_patient_167.npy,39190656,1ACACDC1
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_16_patient_168.npy,THANG 10/PET/day_16_patient_168.npy,thang 10/pet/day_16_patient_168.npy,39190656,CBFD7639
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_16_patient_69.npy,THANG 10/PET/day_16_patient_69.npy,thang 10/pet/day_16_patient_69.npy,41025664,79530887
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_17_patient_169.npy,THANG 10/PET/day_17_patient_169.npy,thang 10/pet/day_17_patient_169.npy,39190656,D81F4107
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_17_patient_170.npy,THANG 10/PET/day_17_patient_170.npy,thang 10/pet/day_17_patient_170.npy,39190656,CA0BD3A5
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_17_patient_171.npy,THANG 10/PET/day_17_patient_171.npy,thang 10/pet/day_17_patient_171.npy,39190656,D78620DC
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_17_patient_172.npy,THANG 10/PET/day_17_patient_172.npy,thang 10/pet/day_17_patient_172.npy,36044928,64A88B1A
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_17_patient_173.npy,THANG 10/PET/day_17_patient_173.npy,thang 10/pet/day_17_patient_173.npy,41025664,8699310B
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_17_patient_174.npy,THANG 10/PET/day_17_patient_174.npy,thang 10/pet/day_17_patient_174.npy,36044928,4C51C2AD
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_18_patient_175.npy,THANG 10/PET/day_18_patient_175.npy,thang 10/pet/day_18_patient_175.npy,39190656,767DF1D3
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_18_patient_176.npy,THANG 10/PET/day_18_patient_176.npy,thang 10/pet/day_18_patient_176.npy,39190656,A63379C0
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_18_patient_177.npy,THANG 10/PET/day_18_patient_177.npy,thang 10/pet/day_18_patient_177.npy,34472064,2D687528
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_18_patient_178.npy,THANG 10/PET/day_18_patient_178.npy,thang 10/pet/day_18_patient_178.npy,41025664,65FB4C69
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_22_patient_129.npy,THANG 10/PET/day_22_patient_129.npy,thang 10/pet/day_22_patient_129.npy,39190656,5EB9A53A
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_22_patient_179.npy,THANG 10/PET/day_22_patient_179.npy,thang 10/pet/day_22_patient_179.npy,37617792,C9487C08
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_22_patient_180.npy,THANG 10/PET/day_22_patient_180.npy,thang 10/pet/day_22_patient_180.npy,41025664,BE0FACE5
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_22_patient_181.npy,THANG 10/PET/day_22_patient_181.npy,thang 10/pet/day_22_patient_181.npy,36044928,C6B54AEF
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_22_patient_182.npy,THANG 10/PET/day_22_patient_182.npy,thang 10/pet/day_22_patient_182.npy,39190656,C5348089
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_22_patient_183.npy,THANG 10/PET/day_22_patient_183.npy,thang 10/pet/day_22_patient_183.npy,41025664,C03C7FE5
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_23_patient_184.npy,THANG 10/PET/day_23_patient_184.npy,thang 10/pet/day_23_patient_184.npy,39190656,E87EE168
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_23_patient_185.npy,THANG 10/PET/day_23_patient_185.npy,thang 10/pet/day_23_patient_185.npy,41025664,9637132C
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_23_patient_186.npy,THANG 10/PET/day_23_patient_186.npy,thang 10/pet/day_23_patient_186.npy,39190656,A8EA2A2C
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_23_patient_187.npy,THANG 10/PET/day_23_patient_187.npy,thang 10/pet/day_23_patient_187.npy,39190656,136489FD
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_23_patient_188.npy,THANG 10/PET/day_23_patient_188.npy,thang 10/pet/day_23_patient_188.npy,41025664,C89942AB
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_23_patient_189.npy,THANG 10/PET/day_23_patient_189.npy,thang 10/pet/day_23_patient_189.npy,41025664,3902AB55
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_24_patient_190.npy,THANG 10/PET/day_24_patient_190.npy,thang 10/pet/day_24_patient_190.npy,34472064,D230FD3B
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_24_patient_191.npy,THANG 10/PET/day_24_patient_191.npy,thang 10/pet/day_24_patient_191.npy,39190656,C4212CA2
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_25_patient_192.npy,THANG 10/PET/day_25_patient_192.npy,thang 10/pet/day_25_patient_192.npy,39190656,712A59B6
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_25_patient_193.npy,THANG 10/PET/day_25_patient_193.npy,thang 10/pet/day_25_patient_193.npy,39190656,240E4A7A
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_25_patient_194.npy,THANG 10/PET/day_25_patient_194.npy,thang 10/pet/day_25_patient_194.npy,31064192,AA2477BA
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_25_patient_195.npy,THANG 10/PET/day_25_patient_195.npy,thang 10/pet/day_25_patient_195.npy,41025664,BF7AFC52
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_25_patient_196.npy,THANG 10/PET/day_25_patient_196.npy,thang 10/pet/day_25_patient_196.npy,41025664,27484926
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_25_patient_21.npy,THANG 10/PET/day_25_patient_21.npy,thang 10/pet/day_25_patient_21.npy,62783616,9C76C07A
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_29_patient_197.npy,THANG 10/PET/day_29_patient_197.npy,thang 10/pet/day_29_patient_197.npy,39190656,FC072B4B
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_30_patient_198.npy,THANG 10/PET/day_30_patient_198.npy,thang 10/pet/day_30_patient_198.npy,36044928,D7B63C38
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_31_patient_199.npy,THANG 10/PET/day_31_patient_199.npy,thang 10/pet/day_31_patient_199.npy,39190656,98911911
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_4_patient_200.npy,THANG 10/PET/day_4_patient_200.npy,thang 10/pet/day_4_patient_200.npy,41943168,D41CFA0C
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_4_patient_201.npy,THANG 10/PET/day_4_patient_201.npy,thang 10/pet/day_4_patient_201.npy,36044928,3E55C1B7
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_4_patient_202.npy,THANG 10/PET/day_4_patient_202.npy,thang 10/pet/day_4_patient_202.npy,39190656,7CC36F51
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_4_patient_203.npy,THANG 10/PET/day_4_patient_203.npy,thang 10/pet/day_4_patient_203.npy,39190656,98F1A61E
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_4_patient_204.npy,THANG 10/PET/day_4_patient_204.npy,thang 10/pet/day_4_patient_204.npy,41025664,30BA04BC
PETCT_2019,Part 1,PETCT_2019/THANG 10/PET/day_4_patient_205.npy,THANG 10/PET/day_4_patient_205.npy,thang 10/pet/day_4_patient_205.npy,36044928,3259316E
PETCT_2019,Part 1,PETCT_2019/THANG 10/reports/day_08_patient_142.json,THANG 10/reports/day_08_patient_142.json,thang 10/reports/day_08_patient_142.json,2630,5E6C016B
PETCT_2019,Part 1,PETCT_2019/THANG 10/reports/day_08_patient_143.json,THANG 10/reports/day_08_patient_143.json,thang 10/reports/day_08_patient_143.json,2658,FD0E5919
PETCT_2019,Part 1,PETCT_2019/THANG 10/reports/day_08_patient_144.json,THANG 10/reports/day_08_patient_144.json,thang 10/reports/day_08_patient_144.json,2385,D238A15E
PETCT_2019,Part 1,PETCT_2019/THANG 10/reports/day_08_patient_145.json,THANG 10/reports/day_08_patient_145.json,thang 10/reports/day_08_patient_145.json,2330,2ED1D8C0
PETCT_2019,Part 1,PETCT_2019/THANG 10/reports/day_08_patient_146.json,THANG 10/reports/day_08_patient_146.json,thang 10/reports/day_08_patient_146.json,2262,00327467
